# Файл содержит русские синсеты, вычисляемые по данным Универсального словаря концептов UNL		
# Публикуется под СС-BY-SA		
# синсет	комментарий	список составляющих синсет UW
#		
# This file contains Russian synsets derived from the U++ UNL Universal Dictionary of Concepts		
# It is published under the terms of СС-BY-SA		
# Format:
# synset	comment	list of UWs which make up the synset		
		
завещатель,изобретатель,плановик	"A PERSON WHO MAKES PLANS"	contriver(icl>person>thing,equ>planner)+deviser(icl>person>thing,equ>planner)+planner(icl>person>thing)
контроль,проверка	"THE ACTIVITY OF MANAGING OR EXERTING CONTROL OVER SOMETHING"	control(icl>activity>thing)
контроль,сдержанность	"DISCIPLINE IN PERSONAL AND SOCIAL ACTIVITIES"	control(icl>discipline>thing,equ>restraint,ant>unrestraint)+restraint(icl>discipline>thing,ant>unrestraint)
контроллер,регулятор,рычаг управления,управление	"A MECHANISM THAT CONTROLS THE OPERATION OF A MACHINE"	control(icl>mechanism>thing)+controller(icl>mechanism>thing,equ>control)
контролировать,проверять	"MONITOR OR VERIFY","VERIFY OR REGULATE BY CONDUCTING A PARALLEL EXPERIMENT OR COMPARING WITH ANOTHER STANDARD, OF SCIENTIFIC EXPERIMENTS"	control(icl>test>do,equ>verify,agt>person,obj>abstract_thing)+verify(icl>test>do,equ>control,agt>thing,obj>thing)
контролируемый,послушный	"CAPABLE OF BEING CONTROLLED"	controllable(icl>adj)+governable(icl>adj,equ>controllable)
опровергать,оспаривать	"PROVE TO BE FALSE OR INCORRECT"	controvert(icl>disprove>do,equ>refute,agt>thing,obj>thing)+rebut(icl>disprove>do,equ>refute,agt>thing,obj>thing)+refute(icl>disprove>do,agt>thing,obj>thing)
головоломка,загадка,тайна	"A DIFFICULT PROBLEM"	conundrum(icl>problem>thing,equ>riddle)+enigma(icl>problem>thing,equ>riddle)+riddle(icl>problem>thing)
восстанавливаться,выздоравливать,оправляться	"GET OVER AN ILLNESS OR SHOCK"	convalesce(icl>better>occur,equ>recuperate,obj>thing)+recover(icl>occur,src>state,obj>living_thing)+recuperate(icl>better>occur,obj>thing)
конвент,съезд	"A LARGE FORMAL ASSEMBLY"	convention(icl>meeting>thing)
норма,образец,общепринятая практика,правило,рецепт	"SOMETHING REGARDED AS A NORMATIVE EXAMPLE"	convention(icl>practice>thing)+formula(icl>practice>thing,equ>convention)+normal(icl>practice>thing,equ>convention)+pattern(icl>practice>thing,equ>convention)+rule(icl>practice>thing,equ>convention)
беседа,разговор	"THE USE OF SPEECH FOR INFORMAL EXCHANGE OF VIEWS OR IDEAS OR INFORMATION ETC."	conversation(icl>speech>thing)
беседовать,вести беседу	"","CARRY ON A CONVERSATION"	converse(icl>talk>do,agt>living_thing,cao>thing,cag>thing)+discourse(icl>talk>do,equ>converse,agt>thing)+keep_in_with(icl>relate>be,equ>converse,obj>person,aoj>person)
наоборот,напротив	"WITH THE TERMS OF THE RELATION REVERSED"	conversely(icl>how,com>converse)
пересчет,преобразование	"A CHANGE IN THE UNITS OR FORM OF AN EXPRESSION: CONVERSION FROM FAHRENHEIT TO CENTIGRADE"	conversion(icl>calculation>thing)
конверсия,обмен	"ACT OF EXCHANGING ONE TYPE OF MONEY OR SECURITY FOR ANOTHER"	conversion(icl>exchange>thing)
переубеждать,убеждать	"CAUSE TO BELIEVE OR REALIZE","MAKE  (SOMEONE) AGREE, UNDERSTAND, OR REALIZE THE TRUTH OR VALIDITY OF SOMETHING"	convert(icl>persuade>do,agt>thing,obj>thing)+convince(icl>persuade>do,cob>uw,obj>person)+win_over(icl>get_suport>do,agt>person,obj>thing)
перемещение,транспортировка	"THE ACT OF MOVING SOMETHING FROM ONE LOCATION TO ANOTHER"	conveyance(icl>movement>thing,equ>transportation)+transfer(icl>movement>thing,equ>transportation)+transportation(icl>movement>thing)
конвейер,транспортер	"A MOVING BELT THAT TRANSPORTS OBJECTS (AS IN A FACTORY)"	conveyor(icl>belt>thing,equ>conveyer_belt)+transporter(icl>belt>thing,equ>conveyer_belt)
убеждение,убежденность	"AN UNSHAKABLE BELIEF IN SOMETHING WITHOUT NEED FOR PROOF OR EVIDENCE"	conviction(icl>belief>thing)
веселье,попойка,увеселение	"A BOISTEROUS CELEBRATION"	conviviality(icl>celebration>thing,equ>merrymaking)+jollification(icl>celebration>thing,equ>merrymaking)+merrymaking(icl>celebration>thing)
завихрение,свертка	"THE SHAPE OF SOMETHING ROTATING RAPIDLY"	convolution(icl>round_shape>thing,equ>whirl)+swirl(icl>round_shape>thing,equ>whirl)+vortex(icl>round_shape>thing,equ>whirl)+whirl(icl>round_shape>thing)
свертывать,сворачивать	"CURL, WIND, OR TWIST TOGETHER"	convolve(icl>flex>occur,obj>thing)
припадок,приступ	"A SUDDEN UNCONTROLLABLE ATTACK"	convulsion(icl>attack>thing,equ>paroxysm)+fit(icl>attack>thing,equ>paroxysm)+paroxysm(icl>attack>thing)
подделывать,подтасовывать	"FABRICATE OR ALTER TO PRODUCE A DESIRED RESULT","FAKE OR FALSIFY"	cook(icl>cheat>do,equ>fake,obj>thing)+fake(icl>cheat>do,equ>fudge,agt>thing,obj>thing)+falsify(icl>cheat>do,equ>fudge,agt>thing,obj>thing)+fudge(icl>cheat>do,agt>thing,obj>thing)+manipulate(icl>falsify>do,agt>person,obj>thing)+misrepresent(icl>cheat>do,equ>fudge,agt>thing,obj>thing)+wangle(icl>cheat>do,equ>fudge,agt>thing,obj>thing)
выдумывать,сочинять,фабриковать	"FABRICATE TO PRODUCE A DESIRED RESULT","MAKE UP SOMETHING ARTIFICIAL OR UNTRUE"	cook_up(icl>create>do,equ>fabricate,obj>thing,pur>uw)+fabricate(icl>think_up>do,src>thing,agt>volitional_thing,obj>thing)+invent(icl>do,equ>fabricate,agt>thing,obj>thing)+make_up(icl>think_up>do,equ>fabricate,agt>thing,obj>thing)+manufacture(icl>fabricate>do,agt>person,obj>abstract_thing)
кулинария,приготовление	"THE ACT OF PREPARING SOMETHING (AS FOOD) BY THE APPLICATION OF HEAT"	cookery(icl>change_of_state>thing,equ>cooking)+preparation(icl>change_of_state>thing,equ>cooking)
куки,печенька	"A SHORT LINE OF TEXT THAT A WEB SITE PUTS ON YOUR COMPUTER'S HARD DRIVE WHEN YOU ACCESS THE WEB SITE"	cookie(icl>text>thing)
спокойный,хладнокровный	"marked by calm self-control (especially in trying circumstances)"	cool(icl>adj,equ>nerveless)
круглый,целый	"(USED OF A NUMBER OR SUM)  WITHOUT EXAGGERATION OR QUALIFICATION"	cool(icl>adj,equ>whole,aoj>number)
остывать,охлаждать,поутихнуть	"LOSE INTENSITY","TO MAKE LESS ARDENT, INTENSE, OR ZEALOUS"	cool(icl>do,equ>damp,agt>thing,obj>abstract_thing)+cool_down(icl>change>occur,equ>cool,obj>thing)+cool_off(icl>change>occur,equ>cool,obj>thing)
невозмутимость,хладнокровие	"CALM AND UNRUFFLED SELF-ASSURANCE"	coolness(icl>calmness>thing)+imperturbability(icl>calmness>thing,equ>coolness)
курятник,птичник	"A FARM BUILDING FOR HOUSING POULTRY"	coop(icl>farm_building>thing,equ>chicken_coop)+hencoop(icl>farm_building>thing,equ>chicken_coop)
координировать,организовывать	"BRING ORDER AND ORGANIZATION TO","TO ORGANIZE THINGS INTO A SYSTEM"	coordinate(icl>arrange>do,equ>organize,agt>volitional_thing,obj>thing)+organize(icl>arrange>do,agt>person,obj>thing)
действовать согласованно,координироваться	"TO ACT IN HARMONIOUS COMBINATION"	coordinate(icl>be,equ>harmonize,obj>thing,aoj>thing)
координированный,согласованный	"BEING DEXTEROUS IN THE USE OF MORE THAN ONE SET OF MUSCLE MOVEMENTS"	coordinated(icl>adj)
воровать,красть,спереть,стянуть	"TAKE BY THEFT"	cop(icl>do,equ>steal,src>thing,agt>thing,obj>thing)+glom(icl>steal>do,equ>hook,agt>thing,obj>thing)+hook(icl>steal>do,agt>thing,obj>thing)+knock_off(icl>steal>do,equ>hook,agt>thing,obj>thing)+snitch(icl>steal>do,equ>hook,agt>thing,obj>thing)+thieve(icl>steal>do,equ>hook,plf>thing,agt>volitional_thing,obj>concrete_thing)
дубликатор,копир,копировальная машина,копировальный аппарат	"APPARATUS THAT MAKES COPIES OF TYPED, WRITTEN OR DRAWN MATERIAL"	copier(icl>apparatus>thing,equ>duplicator)+duplicator(icl>apparatus>thing)
изобильный,обильный	"AFFORDING AN ABUNDANT SUPPLY"	copious(icl>adj,equ>ample)+plenteous(icl>adj,equ>ample)+plentiful(icl>adj,equ>ample)+rich(icl>adj,equ>ample)
копула,связка	"AN EQUATING VERB (SUCH AS `BE' OR `BECOME') THAT LINKS THE SUBJECT WITH THE COMPLEMENT OF A SENTENCE"	copula(icl>verb>thing)+copulative(icl>verb>thing,equ>copula)
пожениться,совокупляться,спариваться	"MAKE LOVE"	copulate(icl>join>do,agt>living_thing,ptn>living_thing)+couple(icl>join>do,equ>copulate,agt>thing)+mate(icl>join>do,equ>copulate,agt>living_thing,obj>living_thing,ptn>living_thing)+pair(icl>join>do,equ>copulate,agt>thing)
переписывать набело,переписывать начисто	"COPY VERY CAREFULLY AND AS ACCURATELY AS POSSIBLE"	copy_out(icl>copy>do,plf>thing,agt>volitional_thing,obj>thing)
кокетство,флирт	"PLAYFUL BEHAVIOR INTENDED TO AROUSE SEXUAL INTEREST"	coquetry(icl>play>thing,equ>flirt)+dalliance(icl>play>thing,equ>flirt)+flirt(icl>play>thing)+flirtation(icl>play>thing,equ>flirt)
вамп,кокетка,обольстительница	"A SEDUCTIVE WOMAN WHO USES HER SEX APPEAL TO EXPLOIT MEN"	coquette(icl>woman>thing)+flirt(icl>woman>thing,equ>coquette)+minx(icl>woman>thing,equ>coquette)+vamp(icl>woman>thing,equ>coquette)
кронштейн,связка	"(ARCHITECTURE) A TRIANGULAR BRACKET OF BRICK OR STONE (USUALLY OF SLIGHT EXTENT)"	corbel(icl>bracket>thing)+truss(icl>bracket>thing,equ>corbel)
рубчатый вельвет,рубчик	"A CUT PILE FABRIC WITH VERTICAL RIBS"	cord(icl>fabric>thing)+corduroy(icl>fabric>thing,equ>cord)
сердечно,тепло	"IN A HEARTY MANNER"	cordially(icl>how,equ>heartily,com>cordial)+heartily(icl>how,com>hearty)+warmly(icl>how,equ>heartily,com>warm)
суть,сущность	"THE CHOICEST OR MOST ESSENTIAL OR MOST VITAL PART OF SOME IDEA OR EXPERIENCE"	core(icl>content>thing,equ>kernel)+essence(icl>content>thing,equ>kernel)+gist(icl>content>thing,equ>kernel)+heart(icl>content>thing,equ>kernel)+inwardness(icl>content>thing,equ>kernel)+kernel(icl>content>thing)+marrow(icl>content>thing,equ>kernel)+substance(icl>content>thing,equ>kernel)
роговидный,роговой	"MADE OF HORN (OR OF A SUBSTANCE RESEMBLING HORN)"	corneous(icl>adj)+hornlike(icl>adj,equ>corneous)+horny(icl>adj,equ>corneous)
захватывать,скупать	"GAIN CONTROL OVER"	corner(icl>control>do,agt>thing,obj>thing)
угол,уголок	"A PROJECTING PART WHERE TWO SIDES OR EDGES MEET"	corner(icl>part>thing)
внешний угол,угол	"(ARCHITECTURE) SOLID EXTERIOR ANGLE OF A BUILDING"	corner(icl>structure>thing)+quoin(icl>structure>thing,equ>corner)
горн,корнет,труба	"A BRASS MUSICAL INSTRUMENT WITH A BRILLIANT TONE","A BRASS MUSICAL INSTRUMENT WITH A BRILLIANT TONE AND A NARROW TUBE"	cornet(icl>brass>thing)+horn(icl>brass>thing,equ>cornet)+trump(icl>brass>thing,equ>cornet)+trumpet(icl>brass>thing,equ>cornet)
балдахин,карниз	"A DECORATIVE FRAMEWORK TO CONCEAL CURTAIN FIXTURES AT THE TOP OF A WINDOW CASING"	cornice(icl>framework>thing)+valance(icl>framework>thing,equ>cornice)
избитый,плоский,пошлый	"DULL AND TIRESOME BUT WITH PRETENSIONS OF SIGNIFICANCE OR ORIGINALITY"	corny(icl>adj,equ>bromidic)+platitudinous(icl>adj,equ>bromidic)
плач,реквием	"A SONG OR HYMN OF MOURNING COMPOSED OR PERFORMED AS A MEMORIAL TO A DEAD PERSON"	coronach(icl>song>thing,equ>dirge)+dirge(icl>song>thing)+lament(icl>song>thing,equ>dirge)+requiem(icl>song>thing,equ>dirge)+threnody(icl>song>thing,equ>dirge)
венок,гирлянда	"FLOWER ARRANGEMENT CONSISTING OF A CIRCULAR BAND OF FOLIAGE OR FLOWERS FOR ORNAMENTAL PURPOSES"	coronal(icl>flower_arrangement>thing,equ>wreath)+garland(icl>flower_arrangement>thing,equ>wreath)+wreath(icl>flower_arrangement>thing)
возведение на престол,инвеститура,интронизация,коронация	"THE CEREMONY OF INSTALLING A NEW MONARCH"	coronation(icl>initiation>thing)+enthronement(icl>initiation>thing,equ>coronation)+investiture(icl>initiation>thing,equ>coronation)
коронер,следователь	"A PUBLIC OFFICIAL WHO INVESTIGATES BY INQUEST ANY DEATH NOT DUE TO NATURAL CAUSES"	coroner(icl>investigator>thing)
воплощенный,олицетворенный	"POSSESSING OR EXISTING IN BODILY FORM"	corporal(icl>adj,equ>bodied)+corporate(icl>adj,equ>bodied)+incarnate(icl>adj,equ>bodied)
материальность,существенность,телесность	"THE QUALITY OF BEING PHYSICAL"	corporality(icl>quality>thing,equ>materiality,ant>immateriality)+corporeality(icl>quality>thing,equ>materiality,ant>incorporeality)+materiality(icl>quality>thing,ant>immateriality)
животик,пузо,трудовая мозоль	"SLANG FOR A PAUNCH"	corporation(icl>belly>thing,equ>pot)+pot(icl>belly>thing)+potbelly(icl>belly>thing,equ>pot)+tummy(icl>belly>thing,equ>pot)
вещественный,материальный	"HAVING MATERIAL OR PHYSICAL FORM OR SUBSTANCE"	corporeal(icl>adj,ant>incorporeal)+material(icl>adj,equ>corporeal,ant>incorporeal)
избыточный вес,лишний вес,тучность	"THE PROPERTY OF EXCESSIVE FATNESS"	corpulence(icl>fleshiness>thing)+overweight(icl>fleshiness>thing,equ>corpulence)+stoutness(icl>fleshiness>thing,equ>corpulence)
толстый,тучный	"EXCESSIVELY FAT"	corpulent(icl>adj)+obese(icl>adj,equ>corpulent)+rotund(icl>adj,equ>corpulent)+weighty(icl>adj,equ>corpulent)
загон,кораль	"A PEN FOR CATTLE"	corral(icl>pen>thing,equ>cow_pen)
верный,правильный	"IN ACCORD WITH ACCEPTED STANDARDS OF USAGE OR PROCEDURE"	correct(icl>adj)+right(icl>adj,equ>correct)
правильный,точный	"FREE FROM ERROR"	correct(icl>adj,ant>incorrect)+right(icl>adj,equ>correct,ant>wrong)
выправлять,исправлять,корректировать,править	"MAKE RIGHT OR CORRECT"	correct(icl>change_by_reversal>do,agt>volitional_thing,obj>thing)+rectify(icl>change_by_reversal>do,equ>correct,agt>thing,obj>thing)+right(icl>change_by_reversal>do,equ>correct,agt>thing,obj>thing)
коррекция,поправка	"A DROP IN STOCK MARKET ACTIVITY OR STOCK PRICES FOLLOWING A PERIOD OF INCREASES"	correction(icl>drop>thing)
исправление,корректировка,правка	"THE ACT OF OFFERING AN IMPROVEMENT TO REPLACE A MISTAKE"	correction(icl>improvement>thing)+rectification(icl>improvement>thing,equ>correction)
взаимозависимость,коррелятивность	"A RECIPROCAL RELATION BETWEEN TWO OR MORE THINGS"	correlation(icl>reciprocality>thing)+correlativity(icl>reciprocality>thing,equ>correlation)
корреспондент,репортер	"A JOURNALIST EMPLOYED TO PROVIDE NEWS STORIES FOR NEWSPAPERS OR BROADCAST MEDIA"	correspondent(icl>journalist>thing)+pressperson(icl>journalist>thing,equ>correspondent)
подкрепляющий ,укрепляющий	"USED OF A MEDICINE THAT IS STRENGTHENING"	corroborant(icl>adj)
коррозия,эрозия	"EROSION BY CHEMICAL ACTION"	corrosion(icl>chemical_process>thing)+erosion(icl>chemical_process>thing,equ>corrosion)
волнистый,гофрированный,рифленый	"SHAPED INTO ALTERNATING PARALLEL GROOVES AND RIDGES"	corrugated(icl>adj)
развращать,совращать	"CORRUPT MORALLY OR BY INTEMPERANCE OR SENSUALITY"	corrupt(icl>change>do,agt>thing,obj>thing)+debase(icl>change>do,equ>corrupt,agt>thing,obj>thing)+debauch(icl>change>do,equ>corrupt,agt>thing,obj>thing)+demoralize(icl>change>do,equ>corrupt,agt>thing,obj>thing)+deprave(icl>change>do,equ>corrupt,agt>thing,obj>thing)+pervert(icl>change>do,equ>corrupt,agt>thing,obj>thing)+profane(icl>change>do,equ>corrupt,agt>thing,obj>thing)+subvert(icl>change>do,equ>corrupt,agt>thing,obj>thing)+vitiate(icl>change>do,equ>corrupt,agt>thing,obj>thing)
разложение,распад	"DECAY OF MATTER (AS BY ROT OR OXIDATION)"	corruption(icl>decay>thing)
порочность,развращение	"MORAL PERVERSION"	corruption(icl>immorality>thing)+degeneracy(icl>immorality>thing,equ>corruption)+depravation(icl>immorality>thing,equ>corruption)+depravity(icl>immorality>thing,equ>corruption)+putrefaction(icl>immorality>thing,equ>corruption)
разложение,распад	"IN A STATE OF PROGRESSIVE PUTREFACTION"	corruption(icl>putrefaction>thing,equ>putrescence)+putrescence(icl>putrefaction>thing)+rottenness(icl>putrefaction>thing,equ>putrescence)
корсиканец,корсиканка	"AN INHABITANT OF CORSICA"	corsican(icl>italian>person)
антураж,кортеж,свита	"THE GROUP FOLLOWING AND ATTENDING TO SOME IMPORTANT PERSON"	cortege(icl>gathering>thing)+entourage(icl>gathering>thing,equ>cortege)+retinue(icl>gathering>thing,equ>cortege)+suite(icl>group,equ>cortege)
корковый,кортикальный	"OF OR RELATING TO A CORTEX"	cortical(icl>adj,com>cortex)
гидрокортизон,кортизол	"AN ADRENAL-CORTEX HORMONE (TRADE NAMES HYDROCORTONE OR CORTEF) THAT IS ACTIVE IN CARBOHYDRATE AND PROTEIN METABOLISM"	cortisol(icl>corticosteroid>thing,equ>hydrocortisone)+hydrocortisone(icl>corticosteroid>thing)
косметичка,косметологичка	"A FEMALE EXPERT IN THE USE OF COSMETICS|rus:Специалистка по косметическому уходу за лицом, телом."	cosmetologist(icl>expert>thing,mod>female)
космогония,космология	"THE BRANCH OF ASTROPHYSICS THAT STUDIES THE ORIGIN AND EVOLUTION AND STRUCTURE OF THE UNIVERSE"	cosmogony(icl>astrophysics>thing,equ>cosmology)+cosmology(icl>astrophysics>thing)
всемирный,мировой,универсальный,экуменический	"OF WORLDWIDE SCOPE OR APPLICABILITY"	cosmopolitan(icl>adj)+general(icl>adj,equ>cosmopolitan)+oecumenical(icl>adj,equ>cosmopolitan)+universal(icl>adj,equ>cosmopolitan)+worldwide(icl>adj,equ>cosmopolitan)
вселенная,космос,макрокосм,мир,мироздание,творение	"EVERYTHING THAT EXISTS ANYWHERE"	cosmos(icl>natural_object>thing,equ>universe)+creation(icl>natural_object>thing,equ>universe)+existence(icl>natural_object>thing,equ>universe)+macrocosm(icl>natural_object>thing,equ>universe)+universe(icl>natural_object>thing)+world(icl>thing,equ>universe)
потеря,цена	"VALUE MEASURED BY WHAT MUST BE GIVEN OR DONE OR UNDERGONE TO OBTAIN SOMETHING"	cost(icl>value>thing,equ>price)+price(icl>value>thing)+toll(icl>value>thing,equ>price)
дорогой,золотой	"HAVING A HIGH PRICE"	costly(icl>adj)+dear(icl>adj,equ>costly)
диван,кушетка	"AN UPHOLSTERED SEAT FOR MORE THAN ONE PERSON"	couch(icl>seat>thing,equ>sofa)+lounge(icl>seat>thing,equ>sofa)+sofa(icl>seat>thing)
выкашливать,отрыгивать,плевать	"DISCHARGE (PHLEGM OR SPUTUM) FROM THE LUNGS AND OUT OF THE MOUTH"	cough_out(icl>discharge>do,equ>expectorate,agt>living_thing,obj>matter)+cough_up(icl>discharge>do,equ>expectorate,agt>living_thing,obj>matter)+expectorate(icl>discharge>do,plt>thing,agt>living_thing,obj>matter)+spit_up(icl>erucate>do,plt>thing,agt>living_thing,obj>matter)
руководство,совет,указание	"SOMETHING THAT PROVIDES DIRECTION OR ADVICE AS TO A DECISION OR COURSE OF ACTION"	counsel(icl>message>thing,equ>guidance)+direction(icl>message>thing,equ>guidance)+guidance(icl>message>thing)
пересчитывать,подсчитывать,считать	"DETERMINE THE NUMBER","DETERMINE THE NUMBER OR AMOUNT OF"	count(icl>do,equ>calculate,agt>thing,obj>thing)+enumerate(icl>determine>do,equ>count,agt>thing,obj>thing)+numerate(icl>determine>do,equ>count,agt>thing,obj>thing)
рассчитывать,считаться	"TAKE ACCOUNT OF"	count(icl>estimate>do,equ>reckon,agt>thing,obj>thing)+reckon(icl>take_into_account>be,obj>thing,aoj>person)
исчисление,подсчет,подсчитывание,счет	"THE ACT OF COUNTING"	count(icl>investigation>thing)+enumeration(icl>investigation>thing,equ>count)+numeration(icl>investigation>thing,equ>count)+reckoning(icl>investigation>thing,equ>count)+tally(icl>investigation>thing,equ>count)
исчислимый,перечислимый,счетный	"THAT CAN BE COUNTED"	countable(icl>adj)+denumerable(icl>adj,equ>countable)+enumerable(icl>adj,equ>countable)+numerable(icl>adj,equ>countable)
выражение,выражение лица,лицо	"THE APPEARANCE CONVEYED BY A PERSON'S FACE"	countenance(icl>appearance>thing)+visage(icl>appearance>thing,equ>countenance)
одобрение,санкция	"FORMAL AND EXPLICIT APPROVAL"	countenance(icl>approval>thing,equ>sanction)+endorsement(icl>approval>thing,equ>sanction)+imprimatur(icl>approval>thing,equ>sanction)+sanction(icl>approval>thing)+warrant(icl>approval>thing,equ>sanction)
лицо,рожа,физиогномика,физиономия	"THE HUMAN FACE (`KISSER' AND `SMILER' AND `MUG' ARE INFORMAL TERMS FOR `FACE' AND `PHIZ' IS BRITISH)"	countenance(icl>face>thing)+mug(icl>face>thing,equ>countenance)+physiognomy(icl>face>thing,equ>countenance)+visage(icl>face>thing,equ>countenance)
счетчик,табулятор	"A CALCULATOR THAT KEEPS A RECORD OF THE NUMBER OF TIMES SOMETHING HAPPENS"	counter(icl>calculator>thing)+tabulator(icl>calculator>thing,equ>counter)
заглаживать,противодействовать	"OPPOSE AND MITIGATE THE EFFECTS OF BY CONTRARY ACTIONS"	counteract(icl>cancel>do,agt>thing,obj>thing)+counterbalance(icl>cancel>do,equ>counteract,agt>thing,obj>thing)+countervail(icl>cancel>do,equ>counteract,agt>thing,obj>thing)+neutralize(icl>cancel>do,equ>counteract,agt>thing,obj>thing)
ослаблять,подрывать,саботировать	"DESTROY PROPERTY OR HINDER NORMAL OPERATIONS"	counteract(icl>disobey>do,equ>sabotage,agt>thing,obj>thing)+sabotage(icl>disobey>do,agt>thing,obj>thing)+subvert(icl>disobey>do,equ>sabotage,agt>thing,obj>thing)+undermine(icl>disobey>do,equ>sabotage,agt>thing,obj>thing,met>thing)+weaken(icl>disobey>do,equ>sabotage,agt>thing,obj>thing)
нейтрализация,противодействие	"ACTION INTENDED TO NULLIFY THE EFFECTS OF SOME PREVIOUS ACTION"	counteraction(icl>nullification>thing,equ>neutralization)+neutralization(icl>nullification>thing)
контратака,контригра	"(CHESS) AN ATTACK THAT IS INTENDED TO COUNTER THE OPPONENT'S ADVANTAGE IN ANOTHER PART OF THE BOARD"	counterattack(icl>attack>thing)+counterplay(icl>attack>thing,equ>counterattack)
отпор,резкий ответ	"A VIGOROUS AND UNRESTRAINED RESPONSE"	counterblast(icl>reply>thing)
имитация,подделка	"A COPY THAT IS REPRESENTED AS THE ORIGINAL"	counterfeit(icl>copy>thing,equ>imitation)+forgery(icl>copy>thing,equ>imitation)+imitation(icl>copy>thing)
близнец,двойник	"A DUPLICATE COPY"	counterpart(icl>duplicate>thing)+similitude(icl>duplicate>thing,equ>counterpart)+twin(icl>duplicate>thing,equ>counterpart)
служить противовесом,уравновешивать	"CONSTITUTE A COUNTERWEIGHT OR COUNTERBALANCE TO"	counterpoise(icl>oppose>be,equ>counterweight,obj>thing,aoj>thing)+counterpose(icl>oppose>be,equ>counterweight,obj>thing,aoj>thing)+counterweight(icl>oppose>be,obj>thing,aoj>thing)
компенсировать,уравновешивать	"COMPENSATE FOR OR COUNTERBALANCE"	countervail(icl>balance>be,equ>offset,obj>thing,aoj>thing)+offset(icl>compensate>do,cob>thing,agt>thing,obj>thing)
бессчетный,бесчисленный,несметный,несчетный	"TOO NUMEROUS TO BE COUNTED"	countless(icl>adj)+infinite(icl>adj,equ>countless)+innumerable(icl>adj,equ>countless)+multitudinous(icl>adj,equ>countless)+myriad(icl>adj,equ>countless)+numberless(icl>adj,equ>countless)+uncounted(icl>adj,equ>countless)+unnumbered(icl>adj,equ>countless)
деревенский,простой	"CHARACTERISTIC OF RURAL LIFE"	countrified(icl>adj)+rustic(icl>adj,equ>countrified)
народ,население,страна	"THE PEOPLE WHO LIVE IN A NATION OR COUNTRY"	country(icl>people>thing,equ>nation)+nation(icl>people>thing)
деревня,сельская местность	"LAND THAT IS OUTSIDE TOWNS AND CITIES"	country(icl>place,equ>rural_area)
пара,чета	"A PAIR OF PEOPLE WHO LIVE TOGETHER"	couple(icl>family>thing)+match(icl>family>thing,equ>couple)
дуэт,пара	"A PAIR WHO ASSOCIATE WITH ONE ANOTHER"	couple(icl>pair>thing)+duet(icl>pair>thing,equ>couple)+duo(icl>pair>thing,equ>couple)
кабачок,цуккини	"SMALL CUCUMBER-SHAPED VEGETABLE MARROW"	courgette(icl>summer_squash>thing,equ>zucchini)+zucchini(icl>summer_squash>thing)
курьер,посланник	"A PERSON WHO CARRIES A MESSAGE"	courier(icl>traveler>thing,equ>messenger)+messenger(icl>traveler>thing)
двор,дворик	"AN AREA WHOLLY OR PARTLY SURROUNDED BY WALLS OR BUILDINGS"	court(icl>area>thing)+courtyard(icl>area>thing,equ>court)
суд,трибунал	"AN ASSEMBLY (INCLUDING ONE OR MORE JUDGES) TO CONDUCT JUDICIAL BUSINESS"	court(icl>assembly>thing)+judicature(icl>assembly>thing,equ>court)+tribunal(icl>assembly>thing,equ>court)
обхаживать,ухаживать	"SEEK SOMEONE'S FAVOR","TRY HARD TO PLEASE SOMEONE, ESPECIALLY BECAUSE YOU WANT SOMETHING FROM THEM"	court(icl>entice>do,agt>person,obj>person)+woo(icl>do,agt>volitional_thing,obj>volitional_thing)
зал суда,зал судебных заседаний,суд	"A ROOM IN WHICH A LAWCOURT SITS"	court(icl>room>thing)+courtroom(icl>room>thing,equ>court)
вежливо,любезно	"IN A POLITE MANNER"	courteously(icl>how,equ>politely,ant>discourteously,com>courteous)+politely(icl>how,ant>impolitely,com>polite)
кутюрье,модельер	"SOMEONE WHO DESIGNS CLOTHING"	couturier(icl>creator>thing)+designer(icl>creator>thing,equ>couturier)
бухточка,заводь	"A SMALL INLET"	cove(icl>inlet>thing)
покрывать,скрывать	"HIDE FROM VIEW OR KNOWLEDGE","SILENCE OR CONCEAL SMTH"	cover(icl>conceal>do,agt>thing,obj>thing,cag>thing)+cover_up(icl>conceal>do,agt>thing,obj>thing)
кавер,кавер-версия	"A RECORDING OF A SONG THAT WAS FIRST RECORDED OR MADE POPULAR BY SOMEBODY ELSE"	cover(icl>recording>thing)
переправляться,пересекать,переходить,покрывать,проходить	"TRAVEL ACROSS","TRAVEL ACROSS OR PASS OVER","TRAVEL OR PASS OVER A DISTANCE"	cover(icl>travel>do,equ>traverse,agt>thing,obj>thing)+cross(icl>travel>do,equ>traverse,plt>place,plf>place,agt>thing,obj>place)+cut_across(icl>pass>occur,equ>traverse,obj>thing)+get_across(icl>pass>occur,equ>traverse,obj>thing)+get_over(icl>pass>occur,equ>traverse,plt>thing,cob>concrete_thing,obj>concrete_thing)+pass_over(icl>pass>occur,equ>traverse,obj>thing)+traverse(icl>pass>occur,obj>thing)
освещение,репортажи	"THE NEWS AS PRESENTED BY REPORTERS FOR NEWSPAPERS OR RADIO OR TELEVISION"	coverage(icl>news>thing)+reportage(icl>news>thing,equ>coverage)
покров,покрытие	"AN ARTIFACT THAT COVERS SOMETHING ELSE (USUALLY TO PROTECT OR SHELTER OR CONCEAL IT)"	covering(icl>artifact>thing)
